observed_at_utc,status,luno_api_timestamp_utc,xbtzar_price,usdtzar_price,usdczar_price,xbtusdt_price,xbtusdc_price,proxy_xbtzar_usdtzar,proxy_xbtzar_usdczar,proxy_direct_xbtusdt,proxy_direct_xbtusdc,luno_usd_proxy,proxy_count,market_btc_usdt,basis_usd,basis_pct,error
2026-08-11T15:11:08.421039+00:00,AVAILABLE,2026-08-11T15:11:08.477000+00:00,1046079.5,16.3956,16.3971,63810.2268,64388.37,63802.4531,63796.6165,63810.2268,64388.37,63806.34,4,63777.8,28.54,0.044749,
2026-08-11T17:08:31.414470+00:00,AVAILABLE,2026-08-11T17:08:31.424000+00:00,1041956.5,16.40095,16.41895,63491.8596,63520.6001,63530.2528,63460.605,63491.8596,63520.6001,63506.2299,4,63497.1,9.1299,0.014378,
2026-08-11T19:15:29.155656+00:00,AVAILABLE,2026-08-11T19:15:29.192000+00:00,1037965.0,16.40085,16.41075,63270.2585,63311.93,63287.2686,63249.0898,63270.2585,63311.93,63278.7636,4,63272.2,6.5636,0.010374,
2026-08-11T20:58:38.674245+00:00,AVAILABLE,2026-08-11T20:58:38.819000+00:00,1044215.5,16.40015,16.4123,63722.4346,63632.9251,63671.0945,63623.9589,63722.4346,63632.9251,63652.0098,4,63728.8,-76.7902,-0.120495,
2026-08-11T21:58:29.772256+00:00,AVAILABLE,2026-08-11T21:58:29.896000+00:00,1043925.5,16.39525,16.412,63668.7791,63634.552,63672.4356,63607.4519,63668.7791,63634.552,63651.6656,4,63675.0,-23.3344,-0.036646,
2026-08-11T22:56:16.124998+00:00,AVAILABLE,2026-08-11T22:56:16.203000+00:00,1043513.5,16.39205,16.41225,63650.3155,63624.6426,63659.7314,63581.3798,63650.3155,63624.6426,63637.479,4,63659.4,-21.921,-0.034435,
2026-08-11T23:53:08.722605+00:00,AVAILABLE,2026-08-11T23:53:08.770000+00:00,1042861.5,16.39165,16.41225,63626.7402,63608.8225,63621.5085,63541.6533,63626.7402,63608.8225,63615.1655,4,63630.8,-15.6345,-0.024571,
2026-08-12T02:37:54.159031+00:00,AVAILABLE,2026-08-12T02:37:54.236000+00:00,1045097.5,16.39005,16.41215,63814.0838,63787.07,63764.1435,63678.281,63814.0838,63787.07,63775.6067,4,63783.1,-7.4933,-0.011748,
2026-08-12T04:55:56.589713+00:00,AVAILABLE,2026-08-12T04:55:56.607000+00:00,1045026.5,16.37495,16.40175,63815.8232,63765.1251,63818.6071,63714.3293,63815.8232,63765.1251,63790.4741,4,63821.6,-31.1259,-0.04877,
2026-08-12T06:23:07.465697+00:00,AVAILABLE,2026-08-12T06:23:07.541000+00:00,1040427.5,16.3239,16.33495,63639.8619,63771.9952,63736.4539,63693.3385,63639.8619,63771.9952,63714.8962,4,63651.3,63.5962,0.099913,
2026-08-12T08:36:41.262554+00:00,AVAILABLE,2026-08-12T08:36:41.242000+00:00,1041961.0,16.33565,16.35945,63795.5321,63658.61,63784.4836,63691.6889,63795.5321,63658.61,63738.0863,4,63774.5,-36.4137,-0.057098,
2026-08-12T10:16:28.055594+00:00,AVAILABLE,2026-08-12T10:16:28.044000+00:00,1046256.5,16.324,16.32835,64109.2731,64104.685,64093.1451,64076.0701,64109.2731,64104.685,64098.915,4,64103.8,-4.885,-0.00762,
