captured_at_local,captured_at_utc,pair,investment_usdt,current_profit_usdt,current_profit_pct,grid_profit_usdt,grid_profit_pct,trend_pnl_usdt,trend_pnl_pct,grid_annualized_pct,total_annualized_pct,rounds_24h,rounds_total,avg_transactions_per_day,lower_limit_usdt,upper_limit_usdt,grids,current_price_usdt,eth_holdings,usdt_holdings,quantity_per_grid_eth,start_price_usdt,profit_per_grid_min_pct_fee_deducted,profit_per_grid_max_pct_fee_deducted,take_profit,stop_loss,trigger_price,trailing_up,reinvest_profits_automatically,runtime_display,source_note
2026-08-12T11:58:00+02:00,2026-08-12T09:58:00+00:00,ETH/USDT,510,-166.16,-32.58,172.27,33.78,-338.44,-66.36,50.18,-44.33,7,4262,17.32,1750,2000,30,1905.24,0.03515,276.86,0.00318,3389.82,0.33,0.39,,,,,false,245D 16H 40m,Manual transcription from four Pionex screenshots supplied 2026-08-12; current price shown as 1905.24/1905.27 across screens.
2026-08-13T04:23:00+02:00,2026-08-13T02:23:00+00:00,ETH/USDT,510,-167.23,-32.79,172.34,33.79,-339.58,-66.59,50.06,-44.5,6,4265,17.26,1750,2000,30,1876.36,0.04468,258.92,0.00318,3389.82,0.33,0.39,,,,,false,246D 9H 5m,"Manual transcription from Pionex screenshots supplied 2026-08-13; device clock 04:23, unchanged 1750-2000 / 30-grid geometry."
2026-08-14T04:16:00+02:00,2026-08-14T02:16:00+00:00,ETH/USDT,510,-166.56,-32.66,172.47,33.81,-339.04,-66.48,49.9,-44.2,6,4271,17.22,1750,2000,30,1889.01,0.04149,265.05,0.00318,3389.82,0.33,0.39,,,,,false,247D 8H 59m,"Manual transcription from Pionex screenshots supplied 2026-08-14; device clock 04:16/04:17, unchanged 1750-2000 / 30-grid geometry."
2026-08-16T04:28:00+02:00,2026-08-16T02:28:00+00:00,ETH/USDT,510,-166.67,-32.69,172.54,33.83,-339.22,-66.52,49.51,-43.97,0,4274,17.09,1750,2000,30,1884.44,0.04467,259.14,0.00318,3389.82,0.33,0.39,,,,,false,249D 9H 10m,Manual transcription from four Pionex screenshots supplied 2026-08-16 at 04:28 SAST; unchanged 1750-2000 / 30-grid geometry; Pionex reports 0 completed rounds in prior 24h.
2026-08-17T04:18:00+02:00,2026-08-17T02:18:00+00:00,ETH/USDT,510,-166.41,-32.63,172.62,33.84,-339.04,-66.48,49.34,-43.78,4,4278,17.04,1750,2000,30,1888.97,0.03830,271.22,0.00318,3389.82,0.33,0.39,,,,,false,250D 9H 1m,"Manual transcription from four Pionex screenshots supplied 2026-08-17; device clock 04:18/04:19 SAST, unchanged 1750-2000 / 30-grid geometry."
2026-08-18T04:27:00+02:00,2026-08-18T02:27:00+00:00,ETH/USDT,510,-165.95,-32.54,172.75,33.87,-338.70,-66.42,49.18,-43.54,6,4284,17,1750,2000,30,1897.79,0.03512,277.4,0.00318,3389.82,0.33,0.39,,,,,false,251D 9H 10m,Manual transcription from four Pionex screenshots supplied 2026-08-18 at 04:27 SAST; unchanged 1750-2000 / 30-grid geometry. Reports screen price 1897.79; Placed screen showed 1898.23 moments later. A 'To Sell' leg is visible at 08/18 03:42.
2026-08-19T04:27:00+02:00,2026-08-19T02:27:00+00:00,ETH/USDT,510,-165.39,-32.43,172.88,33.89,-338.27,-66.33,49.02,-43.28,6,4290,16.95,1750,2000,30,1910.47,0.03193,283.6,0.00318,3389.82,0.33,0.39,,,,,false,252D 9H 10m,Manual transcription from four Pionex screenshots supplied 2026-08-19 at 04:27/04:28 SAST; unchanged 1750-2000 / 30-grid geometry. Reports screen price 1910.47; Placed screen showed 1910.19 moments later. Six completed rounds in prior 24h; a 'To Sell' leg is visible at 08/18 16:37.
2026-08-19T11:22:00+02:00,2026-08-19T09:22:00+00:00,ETH/USDT,510,-165.0,-32.36,172.9,33.9,-337.9,-66.26,48.97,-43.15,5,4291,16.96,1750,2000,30,1922.92,0.02875,289.71,0.00318,3389.82,0.33,0.39,,,,,false,252D 16H 4m,Manual transcription from four Pionex screenshots supplied 2026-08-19 at 11:22 SAST; unchanged 1750-2000 / 30-grid geometry. Current price 1922.92. Five completed rounds in rolling prior 24h; lifetime round #4291 completed at 10:38. Nearest displayed buy 1913.79 and sell 1931.03.
2026-08-19T17:21:00+02:00,2026-08-19T15:21:00+00:00,ETH/USDT,510,-163.78,-32.12,173.14,33.95,-336.93,-66.07,48.99,-42.83,11,4301,17,1800,2050,30,2014.55,0.01253,320.96,0.0031,3389.82,0.32,0.37,,,,,false,252D 22H 3m,Manual transcription from four Pionex screenshots supplied 2026-08-19 at 17:21 SAST. Grid geometry changed since prior state to 1800-2050 / 30 grids; exact edit time unknown. Reports price 2014.55; Placed screen 2013.61. Lifetime round #4301 visible at 17:05.
2026-08-19T17:56:00+02:00,2026-08-19T15:56:00+00:00,ETH/USDT,510,-163.62,-32.09,173.3,33.98,-336.92,-66.07,49.03,-42.78,18,4308,17.02,1850,2100,30,2082.85,0.00619,333.49,0.00302,3389.82,0.31,0.36,,,,,false,252D 22H 39m,Manual transcription from four Pionex screenshots supplied 2026-08-19 at 17:56/17:57 SAST. Grid geometry changed since prior state to 1850-2100 / 30 grids; exact edit time unknown. Reports price 2082.85; Placed screen 2083.37. Seven additional completed rounds since 17:21; #4308 at 17:37.
